file,citation_title,abstracts,authors,affiliations,classifications,subject_area_name
384.html,Biodeterioration of marble in an underwater environment,"This study examines the deterioration of geomaterials used throughout history that today may be found lying on the ocean floor. Submerged archaeological sites including cargoes from shipwrecks or ancient city ruins have been a topic of interest from a perspective of in situ musealization, as a way of making underwater cultural heritage accessible to the public. In an experimental study conducted at an underwater archaeological site in the Bay of Cádiz (SW Spain), we subjected two types of marble (Carrara and Macael) to three conditions to which submerged archaeological objects are often exposed: full exposure to the water column, natural processes of burial and unearthing, or permanent burial. After an 18-month study period, the factor found to mostly affect these materials was their biological colonization. This factor was assessed by estimating total surface biocover and the rate of surface biocolonization, and also through the identification of skeletons and associated alteration forms by light microscopy, and scanning electron microscopy (SEM). Biofouling and bioerosion were the main causes of biodeterioration and dependent on the position of the marble specimens in the seawater. The response of both materials was similar, though dolomite crystals in the Carrara marble acted as a protective barrier against actively penetrating microorganisms. These investigations have allowed the study of tracers left by epilithic encrusting organisms and endolithic bioeroders on marbles intentionally exposed to seawater, providing new insights to the understanding of the biodeterioration processes occurring in cultural heritage stones, with significant implications when they are part of underwater archaeological remains. © 2017 Elsevier B.V.",Cámara Beatriz; de Buergo Mónica Álvarez; Bethencourt Manuel; Fernández-Montblanc Tomás; La Russa Mauro F.; Ricca Michela; Fort Rafael,Dept. of Geomaterials\Instituto de Geociencias (IGEO\Spain; Dept. of Material Science\Metallurgical Engineering and Inorganic Chemistry\Spain; Dept. of Biology\Ecology and Earth Sciences (DiBEST)\Italy,-,Bioerosion; Biofouling; Carrara; Decay; Macael; Submerged archeology
385.html,Stability of cognitive development during the first five years of life in relation to heavy metal concentrations in umbilical cord blood: Mothers' and Children's Environmental Health (MOCEH) birth cohort study,"The objective of this study was to investigate stability of cognitive development during the first five years of life in relation to heavy metal concentrations in umbilical cord blood in Korean children. This research is part of the Mothers' and Children's Environmental Health (MOCEH) study, a multi-center prospective birth cohort study of pregnant women in Korea who were recruited from 2006 to 2010. We analyzed the complete follow-up data of children who were 5 years-old in 2016. We measured lead, mercury, and cadmium levels in the umbilical cord blood of 251 children, and analyzed them, for whom neurodevelopmental data were available. We determined stability of cognitive development scores using three methods. First, we used partial correlation analyses to examine the stability of cognitive development at each measurement time. Second, we used Cramer's V to investigate the magnitude and direction of changes in cognitive development scores at each follow-up period among three groups (high, medium, and low scores). The results showed that cognitive development scores measured at the closest times had the strongest correlations, and the stability of cognitive development scores increased with age, from 6 to 60 months. Groups at the extreme ends of cognitive development (high or low scores) had more stable scores, and this tendency was also stronger in infants > 24 months-old. The stability of cognitive development was unrelated to the umbilical cord level of heavy metals, based on analysis with Fisher's transformation. In conclusion, the present study showed that the cognitive development scores in a cohort of infants (6 to 60 months-old) were stable. © 2017 Elsevier B.V.",Lee Hyungmin; Park Hyewon; Ha Eunhee; Hong Yun-Chul; Ha Mina; Park Hyesook; Kim Bung-Nyun; Lee Soo-Jeong; Lee Kyung Yeon; Kim Ja Hyeong; Jeong Kyoung Sook; Kim Yangho,Department of Child and Family Welfare\Hankyong National University\South Korea; Department of Child and Family Welfare\University of Ulsan\South Korea; Department of Occupational and Environmental Medicine\Ewha Medical Research Center\South Korea; Institute of Environmental Medicine\Medical Research Center\South Korea,-,Cadmium; Child; Cord blood; Intelligence; Lead; Mercury; Stability
386.html,"Aging impacts of low molecular weight organic acids (LMWOAs) on furfural production residue-derived biochars: Porosity, functional properties, and inorganic minerals","The aging of biochar by low molecular weight organic acids (LMWOAs), which are typical root-derived exudates, is not well understood. Three LMWOAs (ethanoic, malic, and citric acids) were employed to investigate their aging impacts on the biochars from furfural production residues at 300–600 °C (BC300–600). The LMWOAs created abundant macropores in BC300, whereas they significantly increased the mesoporosity and surface area of BC600 by 13.5–27.0% and 44.6–61.5%, respectively. After LMWOA aging, the content of C and H of the biochars increased from 51.3–60.2% and 1.87–3.45% to 56.8–69.9% and 2.06–4.45%, respectively, but the O content decreased from 13.8–24.8% to 7.82–19.4% (except BC300). For carbon fraction in the biochars, the LMWOAs barely altered the bulk and surface functional properties during short-term aging. The LMWOAs facilitated the dissolution of minerals (e.g., K2Mg(PO3)4, AlPO4, and Pb2P2O7) and correspondingly promoted the release of not only plant nutrients (K+, Ca2+, Mg2+, Fe3+, PO43 −, and SO42–) but also toxic metals (Al3+and Pb2+). This research provided systematic insights on the responses of biochar properties to LMWOAs and presented direct evidence for acid activation of inorganic minerals in the biochars by LMWOAs, which could enhance the understanding of environmental behaviors of biochars in rhizosphere soils. © 2017 Elsevier B.V.",Liu Guocheng; Chen Lei; Jiang Zhixiang; Zheng Hao; Dai Yanhui; Luo Xianxiang; Wang Zhenyu,Institute of Coastal Environmental Pollution Control\Key Laboratory of Marine Environmental Science and Ecology\China; College of Environmental Science and Engineering\Qingdao University\China; Institute of Environmental Processes and Pollution Control\School of Environmental and Civil Engineering\China; Laboratory for Marine Ecology and Environmental Science\Qingdao National Laboratory for Marine Science and Technology\China,-,Biochar; Functional groups; Inorganic minerals; Low molecular weight organic acids; Porosity
387.html,Prenatal low-level phenol exposures and birth outcomes in China,"Phenolic compounds are among the endocrine disruptors which are widely used in daily life products. Studies in laboratory animals showed reproductive and developmental effects. In spite of widespread exposure to phenols, only few studies examined their effects on human development. This study was designed to investigate the relationship between antenatal phenol exposure and birth outcomes in a Chinese obstetric population. Four hundred ninety-six mother-infant pairs recruited from the Laizhou Wan prospective birth cohort in northern China between 2010 and 2013 were included in the study. We measured two phenol metabolites in maternal urine at delivery and examined their associations with birth outcomes including birth weight, crown–heel length, head circumference, gestational age, and ponderal index. Median levels of bisphenol A (BPA) and triclosan (TCS) in urine were 1.07 and 0.50 μg/g creatinine, respectively. After adjusting for confounders, a 10-fold increase in BPA levels was associated with a 0.63 cm [95% confidence interval (CI): 0.25 to 1.01] increase in birth length among boys, but not among girls. No associations were found between TCS levels and any birth outcomes. The positive association of prenatal low-level BPA exposures with anthropometric measures observed among boys, suggests gender differences in the response to antenatal phenol exposure. Given the variability in urinary phenol levels reported during pregnancy, our findings based on levels of the target biomarkers in a single urine sample need to be confirmed in additional studies. © 2017 Elsevier B.V.",Ding Guodong; Wang Caifeng; Vinturache Angela; Zhao Shasha; Pan Rui; Han Wenchao; Chen Limei; Wang Weiye; Yuan Tao; Gao Yu; Tian Ying,MOE and Shanghai Key Laboratory of Children's Environmental Health\Xinhua Hospital\China; Department of Pediatrics\Shanghai East Hospital\China; Department of Environmental Health\School of Public Health\China; School of Nursing\Shanghai Jiao Tong University School of Medicine\China,-,Birth outcomes; Bisphenol A; China; Phenols; Triclosan
388.html,"Response of soil physicochemical properties and enzyme activities to long-term reclamation of coastal saline soil, Eastern China","Soil enzyme activity during different years of reclamation and land use patterns could indicate changes in soil quality. The objective of this research is to explore the dynamics of 5 soil enzyme activities (dehydrogenase, amylase, urease, acid phosphatase and alkaline phosphatase) involved in C, N, and P cycling and their responses to changes in soil physicochemical properties resulting from long-term reclamation of coastal saline soil. Soil samples from a total of 55 sites were collected from a coastal reclamation area with different years of reclamation (0, 7, 32, 40, 63a) in this study. The results showed that both long-term reclamation and land use patterns have significant effects on soil physicochemical properties and enzyme activities. Compared with the bare flat, soil water content, soil bulk density, pH and electrical conductivity showed a decreasing trend after reclamation, whereas soil organic carbon, total nitrogen and total phosphorus tended to increase. Dehydrogenase, amylase and acid phosphatase activities initially increased and then decreased with increasing years of reclamation, whereas urease and alkaline phosphatase activities were characterized by an increase-decrease-increase trend. Moreover, urease, acid phosphatase and alkaline phosphatase activities exhibited significant differences between coastal saline soil with 63 years of reclamation and bare flat, whereas dehydrogenase and amylase activities remained unchanged. Aquaculture ponds showed higher soil water content, pH and EC but lower soil organic carbon, total nitrogen and total phosphorus than rapeseed, broad bean and wheat fields. Rapeseed, broad bean and wheat fields displayed higher urease and alkaline phosphatase activities and lower dehydrogenase, amylase and acid phosphatase activities compared with aquaculture ponds. Redundancy analysis revealed that the soil physicochemical properties explained 74.5% of the variation in soil enzyme activities and that an obvious relationship existed between soil nutrients and soil enzyme activities. These results will assist governmental evaluation of the quality of reclaimed coastal soil. © 2017 Elsevier B.V.",Xie Xuefeng; Pu Lijie; Wang Qiqi; Zhu Ming; Xu Yan; Zhang Meng,School of Geographic and Oceanographic Sciences\Nanjing University\China,-,Coastal saline soil; Land reclamation; Redundancy analysis; Soil enzyme
389.html,"River sequesters atmospheric carbon and limits the CO2degassing in karst area, southwest China","CO2fluxes across water-air interfaces of river systems play important roles in regulating the regional and global carbon cycle. However, great uncertainty remains as to the contribution of these inland water bodies to the global carbon budget. Part of the uncertainty stems from limited understanding of the CO2fluxes at diurnal and seasonal frequencies caused by aquatic metabolism. Here, we measured surface water characteristics (temperature, pH, and DO, DIC, Ca2 +concentrations) and CO2fluxes across the air-water interface at two transects of Guijiang River, southwest China to assess the seasonal and diurnal dynamics of fluvial carbon cycling and its potential role in regional and global carbon budgets. The two transects had differing bedrock; DM transect is underlain by carbonate and detrital rock and PY is underlain by pure carbonate. Our results show that the river water both degasses CO2to and absorbs CO2from the atmosphere in both summer and winter, but the degassing and absorption varied between the two transects. Further, CO2fluxes evolve through diurnal cycles. At DM, the river evaded CO2from early morning through noon and absorbed CO2from afternoon through early morning. At PY in summer, the CO2evasion decreased during the daytime and increased at night while in winter at night, CO2uptake increased in the morning and decreased in the afternoon but remained relatively stable at night. Although the river is a net source of carbon to the atmosphere (~ 15 mM m− 2day− 1), the evasion rate is the smallest of all reported world's inland water bodies reflecting sequestration of atmospheric carbon through the carbonate dissolution and high primary productivity. These results emphasize the need of seasonal and diurnal monitoring of CO2fluxes across water-air interface, particularly in highly productive rivers, to reduce uncertainty in current estimates of global riverine CO2emission. © 2017 Elsevier B.V.",Zhang Tao; Li Jianhong; Pu Junbing; Martin Jonathan B.; Khadka Mitra B.; Wu Feihong; Li Li; Jiang Feng; Huang Siyu; Yuan Daoxian,Key Laboratory of Karst Dynamics\MLR & Guangxi\China; Chongqing Key Laboratory of Karst Environment\School of Geography Sciences\China; Department of Geological Sciences\University of Florida\United States; College of Environmental Science and Engineering\Guilin University of Technology\China,-,CO2uptake; Diel cycle; Karst river; Southwest China; Water-air interface
39.html,"Archaeological Heritage Policies and Management Structures: Proceedings of the XVII UISPP World Congress (1-7 September 2014, Burgos, Spain) Sessions A15a, A15b, A15c","UISPP has a long history, starting with the old International Association of Anthropology and Archaeology, back in 1865, until the foundation of UISPP itself in Bern, in 1931, and its growing relevance after WWII, from the 1950's. We also became members of the International Council of Philosophy and Human Sciences, associate of UNESCO, in 1955. In its XIVth world congress in 2001, in Liège, UISPP started a reorganization process that was deepened in the congresses of Lisbon (2006) and Florianópolis (2011), leading to its current structure, solidly anchored in more than twenty-five international scientific commissions, each coordinating a major cluster of research within six major chapters: Historiography, methods and theories; Culture, economy and environments; Archaeology of specific environments; Art and culture; Technology and economy; Archaeology and societies. © Archaeopress, UISPP and authors 2017. All rights reserved.",Domingos Ziva,Direcção Nacional dos Museus de Angola\Rua Major Kanhangulo\Angola,-,-
390.html,Climatic controls of ecohydrological responses in the highlands of northern Ethiopia,"Climate variability and recurrent droughts have a strong negative impact on agricultural production and hydrology in the highlands northern Ethiopia. Since the 1980s, numerous mitigation and land rehabilitation measures have been implemented by local and national authorities to reduce these impacts, are often poorly effective. As underlying reason may be that controlling relationships between climate and ecohydrology at medium-sized catchments (10–10,000 km2) of semi-arid highlands are not well known. We investigated trends and relationships in precipitation, temperature, streamflow, and net primary productivity (NPP). The results were mixed, with both significant increasing and decreasing trends for temperature and streamflow. Precipitation time series did not show a significant trend for the majority of stations, both over the years and over each season, except for a few stations. A time series indicated a significant abrupt increase of NPP in annual, seasonal and monthly timescale. Cross-correlation and regression analysis indicate precipitation and maximum temperature were the dominant climatic variables in the Geba catchment for streamflow and NPP. In view of these results, also land use and land cover change over the past three decades was analysed as a possible factor of importance, as human intervention, may affect streamflow and NPP. Factors that mainly correlate with streamflow and NPP are precipitation and maximum temperature. Important interventions that appear beneficial for these responses are construction of micro-dams, soil and water conservation and ecological restoration measures. The awareness that interactions can be quite different in semi-arid and semi-humid regions, as well as in upstream and downstream areas, should be reflected in management aimed at sustainable water and land resources use. © 2017 Elsevier B.V.",Tesfaye Samuale; Birhane Emiru; Leijnse Toon,Soil Physics and Land Management Group\Wageningen University\Netherlands; Department of Land Resources Management and Environmental Protection\Mekelle University\Ethiopia; Department of Ecology and Natural Resource Management\Norwegian University of Life Sciences\Norway; School of Chemistry\Monash University\Australia,-,Ecosystem model; Land use; Precipitation; Primary productivity; Semi-arid; Streamflow
391.html,Surface complexation modeling of Cu(II) sorption to montmorillonite–bacteria composites,"Surface complexation modeling, isothermal titration calorimetry, and batch adsorption were employed to characterize the adsorption of Cu onto montmorillonite, Pseudomonas putida X4, and their composites at mass ratios of 2:1, 6:1, and 12:1, respectively. Different enthalpy values were found for Cu adsorption to permanent (− 6.43 kJ/mol) and variable charge sites (8.51 kJ/mol) on montmorillonite. The component additivity (CA) method was used to predict the adsorption of Cu on the composites by combining end member models for montmorillonite and P. putida. A reduced adsorption was observed at pH < 5.5 due to physical blocking between montmorillonite and P. putida. By contrast, the enhanced binding at high pH levels was ascribed to the formation of bridging structures among the clay mineral–Cu–bacteria complexes. These deviations in the CA method were corrected by adding reactions of > RCOOH…XNa and > RCOO[sbnd]CuOH[sbnd]XNa. The increased adsorption of the composites confirmed the decrease of permanent negative charge sites and the formation of ternary complexes. The results help elucidate the effect of Cu adsorption onto clay minerals–bacteria composites. The newly developed “CA–site masking–bridging” model can be used to predict Cu speciation in systems in which the active interaction of bacteria and clay minerals occurs. © 2017 Elsevier B.V.",Qu Chengcheng; Ma Mingkai; Chen Wenli; Cai Peng; Huang Qiaoyun,State Key Laboratory of Agricultural Microbiology\Huazhong Agricultural University\China; Key Laboratory of Arable Land Conservation (Middle and Lower Reaches of Yangtze River)\Ministry of Agriculture\China,-,Bridging; Copper adsorption; Montmorillonite; Pseudomonas putida; Site masking; Surface complexation model
392.html,Excessive application of pig manure increases the risk of P loss in calcic cinnamon soil in China,"Soil phosphorus (P) is a critical factor affecting crop yields and water environmental quality. To investigate the degree of loss risk and forms of soil P in calcic cinnamon soil, the P fraction activities in soils were analysed using chemical methods, combined with an in situ field experiment. Seven treatments were set in this study, including control (unfertilized), no P fertilizer (No-P), mineral P fertilizer (Min-P), low (L-Man) and high (H-Man) quantities of pig manure, Min-P + L-Man, and Min-P + H-Man. The results showed that manure fertilizer could not only significantly increase maize yield but could also enhance the accumulation of soil P in organic and inorganic forms. After 23 years of repeated fertilization, the soil Olsen-P contents respectively showed 64.7-, 43.7- and 31.9-fold increases in the Min-P + H-Man, Min-P + L-Man and H-Man treatments, while the soil Olsen-P in Min-P treatment only increased 23.7-fold. The soil Olsen-P thresholds ranged from 22.59 to 32.48 mg kg− 1in calcic cinnamon soil to maintain a higher maize yield as well as a lower risk of P loss. Therefore, long-term excessive manure application could obviously raise the content of soil Olsen-P and increase the risk of P loss in calcic cinnamon soil. © 2017",Yang Yanju; Zhang Haipeng; Qian Xiaoqing; Duan Jiannan; Wang Gailan,College of Environmental Science and Engineering\Yangzhou University\China; School of Agricultural Resources and Environment\Hunan Agriculture University\China,-,Olsen-P; Organic phosphorus; Phosphorus loss; Phosphorus threshold range; Soil phosphorus forms
393.html,Assessment of direct exposure and leaching risk from PAHs in roadway and stormwater system residuals,"Wastes generated from municipal cleaning activities such as street sweeping, ditch cleaning, stormwater pond maintenance, and catch basin sediment removal require appropriate management. Beneficial use of these types of waste is a good alternative to landfilling; however, there are genuine concerns about possible soil and groundwater contamination by pollutants such as polycyclic aromatic hydrocarbons (PAHs). This study assessed the potential risks associated with beneficial use of roadway and stormwater system residuals collected from 14 cities across the state of Florida, USA. Total and leachable concentrations of 16 priority PAHs in the residual samples were measured and compared to appropriate risk-based regulatory threshold values. The bioaccessibility of the PAHs found in the waste streams was also determined using in vitro gastrointestinal leaching test. Of the PAHs studied, benzo [a] pyrene measured concentrations were above appropriate risk-based regulatory threshold values for soil and groundwater, while all other detected PAHs measured concentrations were below. Benzo [a] pyrene concentration (mg/kg) in street sweepings was 1.2 times higher than residential threshold values and 6 times lower than industrial threshold values. The in vitro study found PAH bioaccessibility to range from 1.7% to 49% in six roadway and stormwater system residual samples. © 2017 Elsevier B.V.",Azah Edmund; Kim Hwidong; Townsend Timothy,Department of Environmental Engineering Sciences\University of Florida\United States; Department of Environmental Science and Engineering\Gannon University\United States,-,Bioaccesibility; Leaching; Polycyclic aromatic hydrocarbons (PAHs); Risk-based regulatory thresholds; Stormwater; Street sweepings
394.html,Nitrogen-functionalization biochars derived from wheat straws via molten salt synthesis: An efficient adsorbent for atrazine removal,"N-doped porous carbon sheets (NPCS) resulted from wheat straws are fabricated through using molten salts via the carbonization-functionalization progress, which show unique hierarchical structure, large pore volume and high surface area with affluent micropores. Results indicate that there exist many hierarchical pores consisting of the single carbon sheet with ultrathin nature, owing to the template role of molten salt mixtures at high temperature. Such superior structure can bring about desired performance of adsorption capacity of 82.8 mg/g and quick adsorption rate of 1.43 L/(g h) with an initial concentration of 35 mg/L at 25 °C. Langmuir and Freundlich models are adopted to interpret the adsorption behavior of atrazine and modified Freundlich and intraparticle diffusion (IPD) models are employed to characterize the dynamics of adsorption. Furthermore, nitrogen-functionalization biochars via molten salt synthesis should be further developed as a one-pot methodology to produce N-doped carbons, opening up a feasible approach for resource utilization of crop straws and other biomass wastes. © 2017 Elsevier B.V.",Yang Fan; Sun Lili; Xie Weiling; Jiang Qun; Gao Yan; Zhang Wei; Zhang Ying,School of Resource and Environment\Northeast Agricultural University\China; College of Science\Northeast Agticultural University\China,-,Adsorption; Atrazine; Carbon sheets; Nitrogen-functionalized; Wheat straw
395.html,Quantifying deforestation and forest degradation with thermal response,"Deforestation and forest degradation cause the deterioration of resources and ecosystem services. However, there are still no operational indicators to measure forest status, especially for forest degradation. In the present study, we analysed the thermal response number (TRN, calculated by daily total net radiation divided by daily temperature range) of 163 sites including mature forest, disturbed forest, planted forest, shrubland, grassland, savanna vegetation and cropland. TRN generally increased with latitude, however the regression of TRN against latitude differed among vegetation types. Mature forests are superior as thermal buffers, and had significantly higher TRN than disturbed and planted forests. There was a clear boundary between TRN of forest and non-forest vegetation (i.e. grassland and savanna) with the exception of shrubland, whose TRN overlapped with that of forest vegetation. We propose to use the TRN of local mature forest as the optimal TRN (TRNopt). A forest with lower than 75% of TRNoptwas identified as subjected to significant disturbance, and forests with 66% of TRNoptwas the threshold for deforestation within the absolute latitude from 30° to 55°. Our results emphasized the irreplaceable thermal buffer capacity of mature forest. TRN can be used for early warning of deforestation and degradation risk. It is therefore a valuable tool in the effort to protect forests and prevent deforestation. © 2017 Elsevier B.V.",Lin Hua; Chen Yajun; Song Qinghai; Fu Peili; Cleverly James; Magliulo Vincenzo; Law Beverly E.; Gough Christopher M.; Hörtnagl Lukas; Di Gennaro Filippo; Matteucci Giorgio; Montagnani Leonardo,Key Laboratory of Tropical Forest Ecology\Xishuangbanna Tropical Botanical Garden\China; Terrestrial Ecohydrology Research Group\School of Life Sciences\Australia; CNR-ISAFOM\Via Patacca\Italy; Forest Ecosystems & Society\Oregon State University\United States,-,Disturbance; Reforestation; Succession; Surface temperature; Temperature stability
396.html,Comments on “Radiofrequency electromagnetic fields and some cancers of unknown etiology: An ecological study”,"This correspondence refers to the Science of the Total Environment article by Gonzalez-Rubio et al. entitled “Radiofrequency electromagnetic fields and some cancers of unknown etiology: An ecological study”. Authors of this paper have presented the findings of their preliminary epidemiological study which combined epidemiology, statistics and geographical information systems (GIS). Gonzalez-Rubio et al. have analyzed the possible link between exposure to Radiofrequency Electromagnetic Fields (RF-EMF) in the city of Albacete, Spain and the incidence of cancers such as lymphomas, and brain tumors. The shortcomings of this study are discussed. © 2017",Mortazavi Ghazal,School of Medicine\Shiraz University of Medical Sciences\Iran; Ionizing and Non-ionizing Radiation Protection Research Center (INIRPRC)\Shiraz University of Medical Sciences\Iran; Diagnostic Imaging Center\Fox Chase Cancer Center\United States,-,Cancer; Electromagnetic fields; Mobile phone; Radiofrequency
397.html,Increased N2O emission by inhibited plant growth in the CO2leaked soil environment: Simulation of CO2leakage from carbon capture and storage (CCS) site,"Atmospheric carbon dioxide (CO2) concentrations is continuing to increase due to anthropogenic activity, and geological CO2storage via carbon capture and storage (CCS) technology can be an effective way to mitigate global warming due to CO2emission. However, the possibility of CO2leakage from reservoirs and pipelines exists, and such leakage could negatively affect organisms in the soil environment. Therefore, to determine the impacts of geological CO2leakage on plant and soil processes, we conducted a greenhouse study in which plants and soils were exposed to high levels of soil CO2. Cabbage, which has been reported to be vulnerable to high soil CO2, was grown under BI (no injection), NI (99.99% N2injection), and CI (99.99% CO2injection). Mean soil CO2concentration for CI was 66.8–76.9% and the mean O2concentrations in NI and CI were 6.6–12.7%, which could be observed in the CO2leaked soil from the pipelines connected to the CCS sites. The soil N2O emission was increased by 286% in the CI, where NO3−-N concentration was 160% higher compared to that in the control. This indicates that higher N2O emission from CO2leakage could be due to enhanced nitrification process. Higher NO3−-N content in soil was related to inhibited plant metabolism. In the CI treatment, chlorophyll content decreased and chlorosis appeared after 8th day of injection. Due to the inhibited root growth, leaf water and nitrogen contents were consistently lowered by 15% under CI treatment. Our results imply that N2O emission could be increased by the secondary effects of CO2leakage on plant metabolism. Hence, monitoring the environmental changes in rhizosphere would be very useful for impact assessment of CCS technology. © 2017 Elsevier B.V.",Kim You Jin; He Wenmei; Ko Daegeun; Chung Haegeun; Yoo Gayoung,Department of Applied Environmental Science\Kyung Hee University\South Korea; Department of Environmental Engineering\Konkuk University\South Korea; Department of Environmental Science and Engineering\Kyung Hee University\South Korea,-,Cabbage; CCS; CO2leakage; High soil CO2; Nitrification; Soil N2O emission
398.html,"Taxonomy- or trait-based ecological assessment for tropical rivers? Case study on benthic diatoms in Mayotte island (France, Indian Ocean)","Diatom-based ecological quality assessment methods have been implemented and used regularly in the Water Framework Directive. These indices use the species' abundance profiles along a specific environmental gradient, which they aim to assess. However, this approach has several problematic issues including the unstable and fast-changing diatom taxonomy. The use of traits can be a solution if their responses to the environmental pressure are well-defined. Here, we developed taxonomy-based and trait-based diatom assemblage indices to assess the ecological status of riverine sites on a tropical island. The two indices are based on two sub-indices that measure the diatom assemblage response to a nutrient and organic matter/turbidity gradient. Both taxonomy- and trait-based indices correlated significantly with the selected environmental gradients of the test database, which was not used during index development. We showed that traits could be used for quality assessment of the Mayotte rivers and require much less effort than taxonomy-based indices. There were differences between the two types of indices, which are discussed in this paper. As a perspective for further studies, tests of trait-based indices among different eco-regions would be challenging. © 2017 Elsevier B.V.",Tapolczai Kálmán; Bouchez Agnès; Stenger-Kovács Csilla; Padisák Judit; Rimet Frédéric,UMR CARRTEL\INRA\France; Department of Limnology\University of Pannonia\Hungary; MTA-PE Limnoecology Research Group\Egyetem u. 10\Hungary,-,Bacillariophyta; Biomonitoring; Morphological traits; Quality index; Water Framework Directive
399.html,Soil bacterial community response to vegetation succession after fencing in the grassland of China,"Natural succession is an important process in terrestrial system, playing an important role in enhancing soil quality and plant diversity. Soil bacteria is the linkage between soil and plant, has an important role in aboveground community dynamics and ecosystem functioning in terrestrial ecosystems, driving the decomposition of soil organic matter and plant litter. However, the role of soil bacteria in the secondary succession has not been well understood, particularly in the degraded soil of Loess Plateau. In this study, we investigated soil nutrients and soil bacterial community during the secondary succession after a long-term fencing in the grassland, in the Yuwu Mountain, northwest China. The chronosequence included 1 year, 12 years, 20 years and 30 years. The soil bacterial community composition was determined by the Illumina HiSeq sequencing method. The data showed that soil bacterial diversity had no significant changes along the chronosequence, but soil bacterial community compositions significantly changed. Proteobacteria, Acidobacteria and Actinobacteria were the main phyla in all the samples across succession. With the accumulation of soil organic matter and nutrients, the relative abundance of Actinobacteria decreased, whereas Proteobacteria increased. These shifts may be caused by the increase of the available nutrients across the secondary succession. In the younger sites, soils were dominated by oligotrophic groups, whereas soil in the late-succession site were dominated by copiotrophic groups, indicating the dependence of soil bacterial community composition on the contents of soil available nutrients. © 2017 Elsevier B.V.",Zeng Quanchao; An Shaoshan; Liu Yang,College of Natural Resources and Environment\Northwest A&F University\China; State Key Laboratory of Soil Erosion and Dryland Farming on the Loess Plateau\Northwest A&F University\China,-,Available nutrients; HiSeq prosequencing; Soil bacteria; Vegetation succession; Yunwu Mountain
4.html,Cognitive processing of scalar implicatures with Chinese gradable adjectives,"In previous research comparing the Context-driven Model with the Default Model of meaning processing, the former was preferred. It predicts that contexts play an exclusively decisive role in meaning processing, whereas the latter holds that the inference of literal meaning generally goes through, unless it is subsequently defaulted or cancelled by the context it is associated with. The Standardization Model, which we added to our experiments, highlights that implicatures are figured out from standardized forms typically based on the mutual background belief and speaker’s intention. We tested whether Chinese people’s processing of the gradable adjective scale [removed] conformed more to the Context-driven Model, the Default Model, or the Standardization Model. The results demonstrated that the Standardization Model is the most acceptable among the three. The findings of this study, which is the first study using the experimental paradigm on Chinese gradable adjectives, highlighted a need for further studies to investigate the same questions with different languages and cultures. © John Benjamins Publishing Company.",Liu Si; Yang Yi,The Medicine School Campus\Lanzhou University\China; Lanzhou University\Guiqin Building\China,-,Chinese language; generalized conversational implicature; gradable adjective; meaning processing; scalar implicature; standardization model
40.html,Heritage of skill in making clay ornaments in India,"Personal adornment is very common feature among human beings. Ornaments have been found from archaeological sites in India even before the onset of Indus valley civilization. Present work is on terracotta ornaments with focus on bangles. Bangles found from Harappan culture is analysed and compared with present day types. Terracotta bangles have a long history of existence in India. The making of bangles needs special skill not only for the manufacturing process but also the choice of raw material, technique of firing and decorating. Present paper deals with this tangible and intangible cultural heritage of India with understanding of continuity of cultural traits. © Archaeopress, UISPP and authors 2017. All rights reserved.",Chakraborty Koyel; Mondal Debasis Kumar; Ray Ranjana,Department of Anthropology\Calcutta University\India; Department of Anthropology\Calcutta University\India,-,Bangles; Continuity; Craft and craftsmen; Heritage; Intagible; Manufacture; Tangible; Terracotta
400.html,Influence of rainfall duration and intensity on particulate matter removal from plant leaves,"Rainfall influences removal of airborne particulate matter (PM) from leaf surfaces through a process called wash off resulting in throughfall that carries PM to the ground. The present study examined the effects of rainfall characteristics on PM wash-off mass and rate from the foliage of four broadleaf species, to investigate retention of PM pollution. In a controlled rainfall simulation experiment, rainfall intensity was set to 15, 30, and 50 mm h− 1, and sampling intervals for the three rainfall intensities were divided into 10, 5, and 3 min, respectively. Of the plants examined, the evergreen shrub Euonymus japonicus had the greatest surface PM accumulation before rainfall (165 μg cm− 2), maximum wash-off during the first 2.5 mm of rain (30 μg cm− 2), and maximum surface PM retention after rainfall (24 μg cm− 2). Fitting observations with the Box Lucas regression model, cumulative PM wash-off rates increased with cumulative rainfall amount, until the curves tended to become steady after rain exceeded 12.5 mm. Wash off removed 51 to 70% of surface PM accumulation. As rainfall intensity increased, the duration of PM wash-off decreased, and wash-off rates were highest during the first rainfall interval. However, there was no significant difference between PM wash-off rates for rainfall intensities of 30 and 50 mm h− 1in each rainfall interval. In addition, rain did not remove all PM completely, and PM retention following rainfall differed with rainfall intensity, except for Populus tomentosa. © 2017",Xu Xiaowu; Zhang Zhenming; Bao Le; Mo Li; Yu Xinxiao; Fan Dengxing; Lun Xiaoxiu,Beijing Laboratory of Urban and Rural Ecological Environment\Beijing Forestry University\China; China-ASEAN Environmental Cooperation Center\No. 5 Houyingfang Hutong\China,-,Air pollution; Leaf surface; Particulates; PM removal; Simulated rainfall
